,10_Pt/TiO2,11_PCN,12_Pt/CdS,13_Pt/WO3,20_Xylose-0.25M,21_Proline,22_Cysteine,23_Glucose,24_Cellobiose,30_NaOH-0.5M,31_CitricAcid-0.5M,32_AcidYellow73,33_AcidViolet43,34_AcidGreen1,Target
0,0.0,1.46,0.66,2.41,0.0,0.25,0.0,0.25,0.0,1.0,0.5,0.0,0.0,0.5,0.0549091232923103
1,0.92,0.48,0.93,0.0,1.0,1.0,0.25,0.25,0.0,0.5,0.0,0.0,0.25,0.25,1.259835500899712
2,0.0,0.0,3.48,0.0,0.0,0.75,0.75,1.5,0.0,0.5,0.0,0.0,0.0,0.0,3.736750924735969
3,0.0,0.0,1.39,0.0,1.75,0.0,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.25,0.09294188538359105
4,2.47,0.93,0.0,0.37,0.25,0.0,1.5,0.0,0.25,0.25,0.0,0.5,0.75,0.0,3.491957449127216
5,0.0,0.9600000000000001,0.47,0.98,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.25,0.5,0.0483066866201645
6,0.5,1.51,0.48,2.39,0.25,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.5,0.25,0.3888678002243617
7,1.03,0.99,1.5,0.26,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.25,0.25,1.25,0.04365052078952197
8,0.0,0.0,1.07,1.64,0.5,0.5,0.25,0.75,0.0,0.0,0.5,0.0,0.25,0.75,0.4693946742527531
9,2.5,0.0,1.01,0.83,0.75,0.0,1.0,0.0,0.75,0.25,0.25,0.0,0.75,0.0,2.11171806436343
10,0.5,1.01,0.9600000000000001,0.27,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,2.0,0.2389155254776171
11,0.0,0.0,4.87,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985987238613093
12,0.0,0.0,4.930000000000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882780793095942
13,3.03,0.44,0.0,0.0,0.0,0.25,1.75,0.25,0.0,0.25,0.25,0.0,0.5,0.5,1.707555720578147
14,0.5,0.98,0.0,0.24,0.5,0.0,0.25,0.75,0.5,0.5,0.25,0.0,0.25,0.75,0.4042487285624335
15,0.45,1.99,0.0,1.47,0.75,0.25,0.0,0.5,0.0,0.0,1.75,0.0,0.0,0.0,1.16828353460645
16,0.0,1.01,0.0,3.51,1.25,0.5,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.25,0.3869110842555856
17,0.0,0.0,2.17,1.09,0.0,0.75,0.0,0.5,0.0,0.5,0.25,0.5,1.0,0.0,0.04699086900791096
18,0.0,0.0,1.61,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766521704786107
19,0.48,0.0,0.92,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04038930872598588
20,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759697437569189
