,10_Pt/TiO2,11_PCN,12_Pt/CdS,13_Pt/WO3,20_Xylose-0.25M,21_Proline,23_Glucose,24_Cellobiose,30_NaOH-0.5M,31_CitricAcid-0.5M,32_AcidYellow73,33_AcidViolet43,34_AcidGreen1,Target
0,4.989999999999999,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.711296603379475
1,3.99,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.740630889692623
2,4.100000000000001,0.0,0.0,0.55,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.369337365568144
3,3.97,16310.31,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.017702676051127
4,4.069999999999999,0.0,0.0,0.47,0.0,2.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,2.522889041339369
5,3.97,0.0,0.0,0.44,0.25,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.659481111839023
6,3.92,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.5,0.0,0.0,0.75,0.0,3.073097882133784
7,3.97,0.0,0.0,0.57,0.0,2.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,2.092327992253784
8,4.460000000000001,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.416791947645001
9,3.5,0.0,0.0,1.35,0.0,2.75,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.713768583644746
10,3.03,0.0,0.0,1.58,0.0,2.75,0.5,0.0,0.0,0.0,0.0,0.75,0.0,1.22669320014923
11,3.11,0.0,0.0,1.31,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.289979626061552
12,1.98,2.61,0.0,0.0,0.0,2.75,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.635985182914999
13,1.63,0.6,0.0,2.41,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5965983381256196
14,1.57,2.06,0.0,0.4,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4187886549093333
15,1.47,0.0,0.0,3.37,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3337625793210072
16,0.91,0.41,0.0,2.57,0.0,2.75,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.2280414346563681
17,0.9700000000000001,0.0,0.0,2.72,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2414317677075042
18,0.93,0.0,0.0,3.61,0.0,2.75,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.2471325766444334
19,1.08,3.15,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2520198811860068
20,0.0,0.45,0.0,4.29,0.25,2.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0457710836437093
21,0.0,0.5199999999999999,0.41,3.23,0.0,2.75,0.0,0.25,0.25,0.0,0.0,1.0,0.0,0.04735977696165038
22,0.0,1.37,0.0,2.79,0.25,2.75,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.04600124206138061
23,0.0,1.64,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.06636999983347146
24,3.94,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.03362422621993023
25,5.17,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.5,0.0,0.6955608732157676
26,4.52,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,3.627287414095316
27,4.94,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,4.613576741687372
28,5.04,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.814654087886201
29,4.49,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.068471748945834
30,3.75,0.0,0.0,0.5199999999999999,0.0,2.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,2.361587985126408
31,3.98,0.0,0.0,0.44,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.05842913221798
32,3.99,0.39,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.756653314618636
33,4.06,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.194838302346687
34,3.96,0.0,0.0,0.0,0.0,2.75,0.0,0.25,0.0,0.0,0.0,0.75,0.5,1.579293491204543
35,4.02,0.0,0.0,0.42,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.9173005849378818
36,0.14,0.0,0.0,0.61,0.5,2.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.04423756289018282
37,4.100000000000001,0.5599999999999999,0.0,0.0,0.0,2.75,0.25,0.0,0.0,0.0,0.0,0.75,0.0,2.142030919069013
38,3.51,0.0,0.0,1.21,0.0,2.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,1.99996465095963
39,3.58,0.0,0.0,0.93,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.177544582385548
40,3.12,0.0,0.0,1.14,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.9641211833684342
41,3.19,1.63,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.668856978043613
42,2.96,0.0,0.0,2.45,0.75,2.75,0.0,0.0,0.25,0.0,0.0,0.75,0.0,1.249472744034505
43,2.98,0.0,0.0,2.41,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.5272092027996028
44,1.33,2.43,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3548372911667104
45,0.0,2.14,0.0,1.67,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06580645481038702
46,0.0,0.37,0.5599999999999999,3.92,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05046053266600653
47,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.25,0.0,0.9422938327347609
48,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.04144329914974786
49,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.03794197002188748
50,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.037389543578882
51,4.27,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,3.248687456145601
52,4.92,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.396724570378172
53,4.95,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,3.985607728996893
54,4.91,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.5,0.25,0.75,0.0,4.431428470782778
55,5.100000000000001,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,2.56203904862257
56,4.81,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,3.347172599292954
57,4.52,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,3.769412710306739
58,5.04,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,4.139111886269247
59,4.51,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.25,0.0,0.0,3.66251862443935
