form_id,form_name,form_status,PCAT_Gee-pt/g-c3n4,PCAT_Gee-T/M/W,NaCl,NaOH-1M,PVP-1wt,SDS-1wt,AcidRed87-1gL,RhodamineB-1gL,MethyleneB-250mgL,water,sample_name,form_datetime,Baratron_Avg,calc_%_N2_Avg,calc_%_H2_Avg,calc_%_H2_2STD,calc_%_H2_umol,calc_%_H2_umol/h,calc_%_O2_Avg,calc_%_O2_2STD,calc_%_O2_umol,calc_%_O2_umol/h,calc_%_Ar_Avg,calc_%_CO2_Avg
1,1,Complete,4.85,2,0,0,0,0.5,0,0.25,0.75,1.5,PlateAgilent 5_Vial1,13/04/2022 05:42,0.613501,95.77500836,2.558328889,0.027287963,6.973016555,1.743254139,0.527792992,0.097953186,1.438559869,0.359639967,0.079165848,1.059703916
2,2,Complete,1.64,1.5,0,1.25,0.25,0.5,0,0.5,0,1,PlateAgilent 5_Vial2,13/04/2022 06:02,0.663691,97.14318041,1.010042143,0.00956989,2.752984815,0.688246204,0.4819889,0.094162751,1.313715603,0.328428901,0.083553453,1.281235098
3,3,Complete,1.73,0.5,0,3,0.5,0,0,0,0,1,PlateAgilent 5_Vial3,13/04/2022 06:22,0.711091,97.6486737,1.019637879,0.0039146,2.779139087,0.694784772,0.211798645,0.051904997,0.577281313,0.144320328,0.072591006,1.047298765
4,4,Complete,1.4,1.5,0,1.5,0.25,0,0.25,0,0,1.5,PlateAgilent 5_Vial4,13/04/2022 06:43,0.660886,97.32088972,0.930806349,0.329648501,2.537018642,0.634254661,0.412083855,0.079938745,1.123181448,0.280795362,0.081494667,1.254725408
5,5,Complete,4.4,0.5,0,0,1,0,0.25,0.5,0,2.75,PlateAgilent 5_Vial5,13/04/2022 07:03,0.953702,79.25133162,20.14171488,0.693846336,54.89853628,13.72463407,0.141844321,0.038736363,0.386612842,0.09665321,0.044931783,0.420177391
6,6,Complete,2.79,0.25,0,0.75,1.25,1,0.5,0.25,0,1,PlateAgilent 5_Vial6,13/04/2022 07:24,0.780827,97.13558936,2.485543647,0.053090433,6.774632096,1.693658024,0.087219779,0.026810527,0.237727433,0.059431858,0.039587374,0.252059841
7,7,Complete,4.61,0.5,0,1.75,0,0,0.5,1,0,1.25,PlateAgilent 5_Vial7,13/04/2022 07:46,0.744541,94.97733224,4.193239479,0.090842838,11.42915144,2.85728786,0.134646203,0.037789368,0.366993551,0.091748388,0.054384583,0.64039749
8,8,Complete,3.41,0.25,0,0,0.75,0.5,0.75,0.25,0,2.5,PlateAgilent 5_Vial8,13/04/2022 08:08,0.889577,85.00168953,14.72707114,0.541044962,40.14030852,10.03507713,0.062908403,0.02030607,0.171464011,0.042866003,0.036134472,0.172196445
9,9,Complete,1.8,0.5,0,0.5,0,1,0,0,0.5,2.5,PlateAgilent 5_Vial9,13/04/2022 08:31,0.733411,98.59705638,0.714439512,0.006766872,1.947286201,0.48682155,0.124812193,0.035818639,0.340189837,0.085047459,0.053634625,0.510057296
10,10,Complete,2.38,0.75,0,1.25,0.75,0.25,0.25,0,0.25,1.5,PlateAgilent 5_Vial10,13/04/2022 08:53,0.699946,97.35578661,1.526950452,0.021251275,4.161877242,1.040469311,0.176722536,0.046794533,0.481677384,0.120419346,0.063986289,0.876554109
11,11,Complete,1.42,0.75,0,0,0,1.25,0.25,0,0.75,2,PlateAgilent 5_Vial11,13/04/2022 09:15,0.711091,98.54728515,0.577054317,0.001623545,1.572827216,0.393206804,0.180066922,0.047118828,0.490792891,0.122698223,0.056618463,0.638975148
12,12,Complete,2.18,0.25,0,0,0,0.5,0.75,0,0,3.5,PlateAgilent 5_Vial12,13/04/2022 09:37,0.736201,98.22544882,1.477222101,0.03037798,4.026336963,1.006584241,0.070442753,0.022372312,0.19199974,0.047999935,0.043833434,0.183052888
13,13,Complete,2.39,0.25,0,0.5,0.25,0.25,0.25,0.75,1.5,1.25,PlateAgilent 5_Vial13,13/04/2022 10:00,0.747346,98.0225437,1.68280571,0.038514205,4.586678485,1.146669621,0.062884596,0.021183392,0.171399123,0.042849781,0.038294849,0.193471145
14,14,Complete,4.95,4,0,0,0,0,1,0,0,0,PlateAgilent 5_Vial14,13/04/2022 10:22,0.808727,86.3383539,11.90361991,0.374581171,32.44467083,8.111167708,1.063401781,0.158853005,2.898422582,0.724605645,0.056328611,0.638295801
15,15,Complete,4.97,4,0,0,0,0,1,0,0,0,PlateAgilent 5_Vial15,13/04/2022 10:42,0.805952,86.30710435,11.86432952,0.361453748,32.33758041,8.084395102,1.142490099,0.158548587,3.113986793,0.778496698,0.054629858,0.631446176
16,1,Complete,1.2,0.75,0,0.25,1.75,0.25,0.5,0,0.25,1.25,PlateAgilent 6_Vial1,13/04/2022 19:24,0.713881,97.48038104,0.811422737,0.010491541,2.21162502,0.552906255,0.389025665,0.078196839,1.060333726,0.265083432,0.073052196,1.246118359
17,2,Complete,3.59,1.25,0,0.25,0.5,0.75,0,0.5,0.5,1.25,PlateAgilent 6_Vial2,13/04/2022 19:44,0.730606,95.83473517,2.036474073,0.052815571,5.550641861,1.387660465,0.532731187,0.109565759,1.452019481,0.36300487,0.082651051,1.513408523
18,3,Complete,4.23,0.75,0,0.75,0.75,0,0.75,0,0,2,PlateAgilent 6_Vial3,13/04/2022 20:04,0.819827,92.69628504,5.637414524,0.148738066,15.36541489,3.841353723,0.319159249,0.067681648,0.869904856,0.217476214,0.075322056,1.271819135
19,4,Complete,4.79,0.75,0,0.25,0,0.25,0.5,0.25,1.75,1.25,PlateAgilent 6_Vial4,13/04/2022 20:24,0.853277,92.26615049,6.446417769,2.111514669,17.57044531,4.392611327,0.281592155,0.058180775,0.767511467,0.191877867,0.063158056,0.94268153
20,5,Complete,3.58,0.25,0,0.75,1.5,0,0.5,0,1,1,PlateAgilent 6_Vial5,13/04/2022 20:44,0.811427,97.64133282,1.906398594,0.037729614,5.19610634,1.299026585,0.111911316,0.034434205,0.30502703,0.076256757,0.040258039,0.300099226
21,6,Complete,1.5,2.25,0,2,0,0,0,0,0,0.75,PlateAgilent 6_Vial6,13/04/2022 21:06,0.786377,93.56300869,4.672382415,0.120044989,12.73511004,3.183777511,0.365506915,0.072148341,0.996230696,0.249057674,0.077500155,1.321601828
22,7,Complete,3.03,0.25,0,0,0.75,0.5,0,0.5,0.25,2.75,PlateAgilent 6_Vial7,13/04/2022 21:26,0.814277,98.53662836,1.066614244,0.018604359,2.907178516,0.726794629,0.108378506,0.033221175,0.295397953,0.073849488,0.042773569,0.245605319
23,8,Complete,1.17,0.75,0,0.5,0,0.25,0.75,0,0.5,2.25,PlateAgilent 6_Vial8,13/04/2022 21:48,0.797552,97.94165599,0.772069531,0.26661184,2.104363377,0.526090844,0.238793361,0.059925683,0.650858482,0.162714621,0.067093547,0.980387576
24,9,Complete,1.5,2.25,0,2,0,0,0,0,0,0.75,PlateAgilent 6_Vial9,13/04/2022 22:08,0.780827,96.67086669,1.297809891,0.027541858,3.537328564,0.884332141,0.754804994,0.122854904,2.057306916,0.514326729,0.075796024,1.200722399
