,AcidRed87-1gL,MethyleneB-250mgL,NaCl,NaOH-1M,PCAT_Gee-T/M/W,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,Target
0,0.0,0.75,0.0,0.0,2.0,4.85,0.0,0.25,0.5,6.973016555
1,0.0,0.0,0.0,1.25,1.5,1.64,0.25,0.5,0.5,2.752984815
2,0.0,0.0,0.0,3.0,0.5,1.73,0.5,0.0,0.0,2.779139087
3,0.25,0.0,0.0,1.5,1.5,1.4,0.25,0.0,0.0,2.537018642
4,0.25,0.0,0.0,0.0,0.5,4.4,1.0,0.5,0.0,54.89853628
5,0.5,0.0,0.0,0.75,0.25,2.79,1.25,0.25,1.0,6.774632096
6,0.5,0.0,0.0,1.75,0.5,4.61,0.0,1.0,0.0,11.42915144
7,0.75,0.0,0.0,0.0,0.25,3.41,0.75,0.25,0.5,40.14030852
8,0.0,0.5,0.0,0.5,0.5,1.8,0.0,0.0,1.0,1.947286201
9,0.25,0.25,0.0,1.25,0.75,2.38,0.75,0.0,0.25,4.161877242
10,0.25,0.75,0.0,0.0,0.75,1.42,0.0,0.0,1.25,1.572827216
11,0.75,0.0,0.0,0.0,0.25,2.18,0.0,0.0,0.5,4.026336963
12,0.25,1.5,0.0,0.5,0.25,2.39,0.25,0.75,0.25,4.586678485
13,1.0,0.0,0.0,0.0,4.0,4.95,0.0,0.0,0.0,32.44467083
14,1.0,0.0,0.0,0.0,4.0,4.97,0.0,0.0,0.0,32.33758041
15,0.5,0.25,0.0,0.25,0.75,1.2,1.75,0.0,0.25,2.21162502
16,0.0,0.5,0.0,0.25,1.25,3.59,0.5,0.5,0.75,5.550641861
17,0.75,0.0,0.0,0.75,0.75,4.23,0.75,0.0,0.0,15.36541489
18,0.5,1.75,0.0,0.25,0.75,4.79,0.0,0.25,0.25,17.57044531
19,0.5,1.0,0.0,0.75,0.25,3.58,1.5,0.0,0.0,5.19610634
20,0.0,0.0,0.0,2.0,2.25,1.5,0.0,0.0,0.0,12.73511004
21,0.0,0.25,0.0,0.0,0.25,3.03,0.75,0.5,0.5,2.907178516
22,0.75,0.5,0.0,0.5,0.75,1.17,0.0,0.0,0.25,2.104363377
23,0.0,0.0,0.0,2.0,2.25,1.5,0.0,0.0,0.0,3.537328564
24,0.0,0.75,0.0,0.0,0.25,1.57,3.0,0.0,0.25,0.518180182
25,1.0,0.25,0.0,1.75,0.25,3.63,0.0,0.0,0.0,8.343678453
26,3.0,0.0,0.0,1.5,0.25,3.59,0.0,0.0,0.0,16.22367705
27,0.75,0.0,0.0,0.0,0.75,1.36,1.5,0.0,0.0,3.705776067
28,1.0,0.0,0.0,0.0,4.0,5.02,0.0,0.0,0.0,37.19223992
29,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,36.72049788
30,0.0,0.0,0.0,0.0,0.75,4.2,0.75,0.25,0.0,8.34860826720152
31,0.5,0.0,0.0,0.0,0.5,4.21,0.75,0.25,0.0,52.0971726466099
32,0.0,0.0,0.0,0.0,0.5,4.21,0.75,0.5,0.0,7.28017224491597
33,0.25,0.0,0.0,0.0,0.5,4.2,0.75,0.25,0.0,55.205037116538
34,0.5,0.0,0.0,0.0,0.25,4.19,0.75,0.25,0.0,50.5289661510617
35,0.25,0.0,0.0,0.0,0.25,4.17,0.75,0.5,0.0,61.243544056614
36,0.0,0.0,0.0,0.0,0.25,4.23,0.75,0.25,0.0,5.57278791784504
37,0.25,0.0,0.0,0.0,0.25,4.23,0.75,0.25,0.0,51.48377479363
38,0.25,0.0,0.0,0.0,0.5,4.19,0.75,0.0,0.0,5.68092173146424
39,0.25,0.0,0.0,0.0,0.25,4.15,0.75,0.75,0.0,51.4786828914058
40,0.25,0.0,0.0,0.0,0.25,4.18,0.75,0.0,0.0,4.01086422027796
41,0.0,0.0,0.0,0.0,0.25,4.12,0.75,0.0,0.0,2.708824915986
42,0.25,0.0,0.0,0.0,0.25,4.19,0.75,0.5,0.25,58.5694557744548
43,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,34.9922653523826
44,1.0,0.0,0.0,0.0,4.0,5.02,0.0,0.0,0.0,35.042411940747
